"Year","Candidate1","Candidate2"
1964,NA,NA
1965,NA,NA
1966,NA,NA
1967,NA,NA
1968,NA,NA
1969,NA,NA
1970,NA,NA
1971,NA,NA
1972,NA,NA
1973,NA,NA
1974,NA,NA
1975,NA,NA
1976,NA,NA
1977,NA,NA
1978,NA,NA
1979,NA,NA
1980,NA,NA
1981,NA,NA
1982,1.4861803970363,-1.33282563684735
1983,-0.843439971577478,-1.99665384122274
1984,-0.367241349571629,0.370835914505722
1985,-1.74666969605077,-0.581754988917388
1986,-1.13739152005818,-0.722125211268831
1987,0.726715001461908,0.93053297041616
1988,1.79158721994553,-0.242396389962416
1989,-0.603586408528535,0.358799588819246
1990,0.574417181700094,0.792579229078705
1991,-1.04277521121186,1.78200891719713
1992,0.338656089442668,-0.128300446636516
1993,0.0532874168540237,-1.51426353221189
1994,-1.55511464954944,-1.126034751462
1995,-0.848715336227317,-0.221880515284849
1996,0.779294904106119,-0.136344994186404
1997,-2.39163195682808,-3.07743175202297
1998,-1.04648793738459,-0.549555903375021
1999,1.58594508278926,-0.362976256748063
2000,1.04960237507017,-0.890680328927162
2001,-1.72621647636045,0.636709221899633
2002,-3.32847487201455,-0.82765822503287
2003,-1.54178938785446,-1.00746985718205
2004,0.794215894722296,-0.0168067022735998
2005,-1.01958712360066,1.16694272104285
2006,0.270514835702762,1.15568729131516
2007,1.15112520037979,-1.56044853083045
2008,-1.9847552267035,-0.316001250096731
2009,0.582318625856963,-0.269444024241335
2010,1.07021712847847,-1.02638547871339
2011,-2.16235671407055,1.95267087803705
2012,0.22872744612931,0.099054196149587
2013,-1.62280710255789,0.541732477819951
2014,-0.538289032164042,-0.537000267247544
2015,-1.083818011604,-0.154114344693684
2016,0.752170307236249,-0.198104739961905
2017,-0.298500423516693,-1.44049394262802
2018,0.0303042300969882,1.35783160795277
2019,-0.552554594780664,-0.912587111113137
2020,NA,NA
2021,-0.16149288737222,0.704828403924537
2022,0.673598834197572,0.0951929884276912
2023,NA,NA
2024,NA,NA
